Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FOXP1 KD HUMAN GSE51382 CREEDSID GENE 2764 DOWN	69/311	5.619051939267993E-27	9.148811605861542E-25	0	0	5.931715219241647	358.53442699762417	SRP19;COX7B;NDUFA11;CISD1;YBX1;IFI30;COX7C;ACTB;RBM3;RPL36AL;C1QBP;RFK;CFL1;SUMO2;COTL1;UQCRFS1;NELFCD;CHCHD1;PARP1;HLA-A;COX6B1;DDB1;NSA2;MTHFD1;PPA1;NDUFS6;NCL;UQCRC1;JTB;SNRPA1;SNRPF;TOP1;PTMA;DCTPP1;SNRPB;SF3B5;ANP32A;NDUFB10;MRPS36;GTF3C6;MRPL18;GSTP1;UQCR10;COX5A;PSMA7;SRM;PSMB6;PRDX4;PCBP1;PSMB1;CYC1;ATP5MG;ATP5ME;TIMM8B;MARCKSL1;ATP5PB;NDUFA4;ALYREF;TMA7;NDUFA1;TUBB4B;HSPE1;ATP5F1E;ATOX1;CS;SNRNP40;SPCS1;UQCRQ;SLIRP
PPARG OE MOUSE GSE2192 CREEDSID GENE 861 UP	63/260	5.6271521922264735E-27	9.148811605861542E-25	0	0	6.624968588229382	400.4276368124978	COX7B;MRPS14;YBX1;COX7C;ACTB;CDC20;ATP5IF1;RBM3;TUBA1B;TRIM28;MAGOH;CFL1;ELOB;ANXA5;CCNA2;MRPL51;COL4A2;PPA1;PSMA2;COL4A1;NCL;CKS2;SRSF2;MYH9;ERH;HPRT1;SLC25A5;PTMA;SLC25A4;ARF5;SNRPB;LRRC59;NDUFB8;TMED10;RBM8A;PSMD14;GSTP1;POMP;UQCR10;SRM;PSMB6;GNG5;PSMB3;PCBP1;RAD21;HSPA9;EGR1;PPP1R14B;CAVIN1;UQCC2;ALYREF;HMGA2;PDAP1;HSPE1;PRDX6;LSM3;LSM8;NR4A1;UQCRQ;UBE2N;CYCS;ANP32B;MAD2L1
NFKB1 INACTIVATION HUMAN GSE20667 CREEDSID GENE 2573 DOWN	68/308	1.8188500960783053E-26	2.7296742595759796E-24	0	0	5.888569321533923	349.0096618248158	COX7B;NDUFA11;RPL31;KIF14;COX7C;PSMD8;TRIM28;RPL36AL;SUMO2;ELOB;COX8A;WDR83OS;GABARAPL2;EDF1;HLA-A;MRPS6;COX6B1;MRPL53;RRAGA;TMEM256;RCN2;CKS2;KIF20A;PTMA;SF3B5;CSTB;RNASEK;NAXE;MRPS36;GSTP1;NDUFB1;NEDD8;TXN;UQCR10;SLC5A3;COX5A;PSMA7;SLC9A3R1;PSMB4;PNMA1;GNG5;PSMB3;PCBP1;PSMB1;ATP5MG;ATP5ME;UBQLN2;HNRNPA0;TIMM8B;MARCKSL1;NDFIP1;ATP5PB;NDUFA4;TUBB4B;HSPE1;ATP5F1E;ATOX1;RPS26;SEM1;SPCS1;UBLCP1;EIF3K;UQCRQ;GNB2;ANP32B;SLIRP;ITM2B;RPS24
RC3H1 SIRNA HEK293 HUMAN GSE68611 RNASEQ UP	74/373	1.2599939262030809E-25	1.7558915357301505E-23	0	0	5.161771606915405	295.94253785103365	PDCD5;YBX1;COX7C;ACTB;NUBP2;PSMD8;RBM3;TUBA1B;CHCHD2;TRIM28;ZIC2;C1QBP;CFL1;SUMO2;ELOB;HMGN2;CTSD;SOX4;EIF5B;HSBP1;ANXA5;EDF1;HLA-A;DDOST;EPN1;APRT;COX6B1;EEF1A1;MYL6;RCN1;RCN2;COL4A2;TMX1;CDC37;CKS2;GAS1;SRSF3;MYH9;TTLL12;KCTD12;TOP1;ARF5;RABL6;SNRPB;GRN;ECHS1;NAXE;RAB1B;PRDX2;TMEM123;PGRMC1;PSMB4;ZNF703;DHX37;CYC1;HEXIM1;HSPA9;MARCKSL1;SMARCA5;HMGA2;DHCR24;TUBB4B;ATP5F1E;MZT1;NUDT21;PINK1;UQCRQ;GNB2;ID4;CALR;FARSA;RBMX;ITM2B;RNF187
SOX17 OE HUMAN GSE10809 CREEDSID GENE 151 DOWN	70/349	1.3836626529812978E-24	1.7996838906443413E-22	0	0	5.215133236376352	286.50538166168593	MRPS17;COX7B;TMEM167A;TXNDC12;HMGB1;IPO7;MRPL32;MRPL3;UCHL1;CHCHD2;YWHAQ;SNRPD1;C1QBP;DHX15;PLS3;UQCRFS1;HMGN2;CHCHD1;YWHAG;RMI2;PARP1;HAUS1;NSA2;GAL;MRPL51;RCN2;MTHFD1;PPA1;TMX1;NCL;JTB;ERH;SNRPF;MCM6;EEF1E1;PTMA;MMADHC;SNRPB;SF3B5;PSMD14;DDX1;MRPL16;NDUFB1;MRPL15;MRPS30;COX5A;ADH5;PGRMC1;ATP5F1B;DNAJB6;PCBP1;POLR2G;CYC1;HSPA9;PPIL1;NOP58;XRCC5;RFLNB;NDUFA1;HSPE1;CNIH1;UQCRQ;CYCS;CEBPZ;EIF3E;SLIRP;ITM2B;TOMM5;MAD2L1;NUP37
EBF1 OE MOUSE GSE2192 CREEDSID GENE 859 UP	63/292	5.082409472117321E-24	6.1973630500630585E-22	0	0	5.689523974231484	305.1647688217965	COX7B;NDUFA11;MRPS14;GHITM;MRPL37;YBX1;COX7C;ACTB;CDC20;CFL1;YWHAG;RRAGA;MRPL51;PPA1;PSMA2;NDUFS6;NCL;CAT;UQCRC1;SRSF2;NDUFS3;SUCLG1;ERH;UQCRC2;HPRT1;PABPC1;SLC25A5;SLC25A4;LRRC59;NDUFB8;ECHS1;NDUFB10;NDUFB6;MRPL18;MRPL16;MRPL15;UQCR10;SRM;PRDX3;PSMB6;PSMB7;SAMM50;GRPEL1;GNG5;PSMB3;CYC1;HSPA9;NDUFA9;EGR1;COA3;PPP1R14B;NDUFA7;HSPE1;CS;MRPL30;COPS6;REEP5;UQCRQ;ATP5PO;CYCS;ANP32B;SLIRP;TOMM5
SOX7 OE HUMAN GSE10809 CREEDSID GENE 1271 DOWN	74/396	5.9334550821684365E-24	6.809512273712129E-22	0	0	4.787187538906334	256.02566179892074	YWHAE;POP7;TMEM167A;GHITM;HMGB1;MRPL32;MRPL3;UCHL1;CHCHD2;SNRPD1;ZIC3;C1QBP;UQCRFS1;NUDT15;HMGN2;BCAS2;COA6;YWHAG;PARP1;EIF1AX;ANXA5;REXO2;MRPS6;CCNA2;NSA2;GAL;PPA1;TMX1;SBDS;JTB;ERH;SNRPF;SLC25A5;PTMA;MMADHC;SF3B5;PSMD14;GTF3C6;MRPL18;MAK16;NOL7;MRPL15;TXN;MRPS30;COX5A;RTN4;SRM;PDLIM1;PRDX4;ORC6;PSMB3;POLR2G;CYC1;HSPA9;PPIL1;NOP58;NDUFA4;ATP5PB;NDUFA1;TUBB4B;HSPE1;PRDX6;TM9SF2;CNIH1;SUCLA2;SPCS1;UQCRQ;BAMBI;CYCS;RNPS1;ITM2B;TOMM5;MAD2L1;NUP37
SOX10 KO MOUSE GSE12007 CREEDSID GENE 284 UP	64/307	1.6008554351547528E-23	1.7351494188816236E-21	0	0	5.4487772157865155	286.0004259585323	RPL31;PDCD5;CISD1;GHITM;COX7C;ACTB;CHCHD2;SERP1;RPL36AL;LAMP2;CFL1;UQCRFS1;EIF2B1;COX8A;WDR83OS;HSBP1;MRPL53;MYL6;RRAGA;NSA2;PSMA2;CDC37;PIGK;MYH9;CACUL1;SFT2D1;SLC25A4;VAMP3;SF3B5;CSTB;RNASEK;TMED10;NDUFB10;NDUFB6;NDUFB1;NEDD8;UQCR10;RTN4;PSMB7;PSMB4;PSMB3;PSMB1;ATP5MG;ATP6V1C1;POLR2K;TIMM8B;EGR1;NDUFA6;ATP5PB;NDUFA4;MRPL27;NDUFA1;TBCA;ATP5F1E;HIGD2A;SEM1;RPS25;COPS6;CNIH1;PSMC2;RSRP1;CPE;CYCS;TOMM5
TRPS1 MUTATION MOUSE GSE33766 CREEDSID GENE 621 DOWN	62/298	8.988002024858123E-23	9.229258921314842E-21	0	0	5.425144347178246	275.39967616155093	PDCD5;BCCIP;GHITM;HMGB1;YBX1;MRPL4;RPL36AL;CFL1;SUMO2;DHX15;PLS3;RAB8A;YWHAH;ANXA5;ATP1B3;COX6B1;CCNA2;PPA1;UQCRC1;CKS2;NDUFS3;GAS1;PFDN1;SNRPA1;PABPC1;SLC25A5;SNRPB;NDUFB8;ECHS1;CTBP1;DHX9;RAB1B;MRPL16;NEDD8;COX5A;SRM;PRDX2;PGRMC1;GNG5;PSMB3;CYC1;POLR2K;MARCKSL1;NDUFA4;PBDC1;ALYREF;RNF26;TMA7;HMGA2;TBCA;HSPE1;ATP5F1E;LSM3;RAB11B;HIGD2A;NUDT21;CNIH1;ATP5PO;CPE;ANP32B;CALR;RPS24
RELA OE HEK293 HUMAN GSE57027 RNASEQ UP	63/310	1.5036145887191535E-22	1.4275828800973918E-20	0	0	5.269852086423217	264.8047980739553	YWHAE;RPL31;GHITM;HMGB1;YBX1;ACTB;ATP5IF1;RBM3;PNN;MRPL3;TUBA1B;CHCHD2;TRIM28;C1QBP;CFL1;GLUL;PARP1;HSBP1;THOC3;TUBG1;YDJC;EEF1A1;HOXB9;PPA1;NCL;ERH;KCTD12;SLC25A5;PTMA;SNRPB;PPP1R15A;BEX3;LRRC59;NDUFB8;ANP32A;NEDD8;TXN;RTN4;PRDX3;PRDX2;PSMB4;ATP5F1B;POLR2A;ZNF703;ZNF503;MSX1;CYC1;HSPA9;PPP1R14B;MARCKSL1;ATP5PB;TMA7;NDUFA1;TBCA;HSPE1;MZT1;RPS25;TSR1;CYCS;ANP32B;CALR;RPS24;MAD2L1
SRF MUT MOUSE GSE1948 CREEDSID GENE 1396 DOWN	67/348	1.5677806074218693E-22	1.4275828800973918E-20	0	0	4.939143941330292	247.98064228088063	COX7B;NDUFA11;GLDC;FCF1;BRK1;ACTB;PSMD8;RBM3;GJA1;SNRPD1;CFL1;CTSD;GTF2F2;MED28;DDB1;PSMA2;COL4A1;SARNP;CDC37;SUCLG1;ERH;UQCRC2;DCTPP1;SLC25A4;SF3B5;CSTB;RNASEH2C;LRRC59;NDUFB8;PSMD14;POMP;NEDD8;UQCR10;PSMA7;SRM;PSMB6;PSMB7;PSMB4;GNG5;PSMB3;PCBP1;RAD21;PSMB1;CYC1;EMC8;COA3;MARCKSL1;NDUFA7;UQCC2;TBCA;HSPE1;PRDX6;ATP5F1E;LSM3;ATOX1;HIGD2A;SEM1;RPS25;EIF3K;UQCRQ;GNB2;UBE2N;RNPS1;HOXD9;TOMM5;MAD2L1;COPS9
RUNX1 KO MOUSE GSE2592 CREEDSID GENE 277 UP	59/274	1.6097807976495447E-22	1.4275828800973918E-20	0	0	5.654586209531573	283.7515127948294	YWHAE;FEN1;RPL31;GLDC;FCF1;BCCIP;HMGB1;TXNDC17;RBM3;LAPTM4B;GJA1;TUBA1B;CHCHD2;SERP1;YWHAQ;MAGOH;SUMO2;DHX15;CTSC;SMIM15;EIF1AX;MRPS18C;EEF1A1;CCNA2;PPA1;PSMA2;CKS2;ERH;LAP3;DNAJC8;EEF1E1;SRSF6;SLC25A5;PTMA;DCTPP1;RAB7A;BEX3;PSMD14;POMP;RNF7;PSMB6;PGRMC1;ATP5F1B;POLR2C;SPTSSA;HNRNPA0;NDFIP1;TBCA;LSM3;HIGD2A;SPCS3;LSM8;SPCS2;TSPAN13;CYCS;BLMH;EIF3E;TOMM5;NUP37
ZFP42 KD MOUSE GSE9978 CREEDSID GENE 1334 UP	70/381	2.8599708938759715E-22	2.4260013973704436E-20	0	0	4.670542773828791	231.68722786436106	FEN1;CISD1;FCF1;CDC20;PSMD8;YWHAQ;ZIC3;MAGOH;DHX15;TIMM17A;TRIM25;UQCRFS1;ELOB;SEPHS2;YWHAH;ABT1;GABARAPL2;IK;GTF2F2;MED28;CFDP1;PPA1;PSMA2;NDUFS6;UQCRC1;CKS2;SUCLG1;SNRPA1;UQCRC2;SLC25A5;DCTPP1;SLC25A4;DCTN6;SF3B5;LRRC59;POM121;NDUFB10;NDUFB6;DDX1;POMP;DDX20;CSTF2T;NEDD8;UQCR10;MRPS30;COX5A;PSMB6;PSMB3;PCBP1;RAD21;CYC1;AASDHPPT;CCZ1;NDUFA1;TBCA;LSM3;SMU1;AIMP2;RPS25;NR4A1;SNRNP40;EIF3K;PSMC2;AGGF1;CYCS;EIF3E;CALR;TARDBP;TOMM5;RNF187
NR4A2 OE HUMAN GSE58475 CREEDSID GENE 1431 DOWN	75/435	4.736388023080049E-22	3.850288763762157E-20	0	0	4.335748792270532	212.89219084991427	FEN1;TXNDC12;NUCKS1;GHITM;MRPL37;LAMC1;YBX1;PRPF19;MRPL3;SERP1;TRIM28;ZIC2;RPL36AL;C1QBP;DHX15;CYP1B1;UQCRFS1;HMGN2;CHCHD1;CTSC;COX8A;SUPT16H;TNFRSF12A;PARP1;RABGGTB;MRPS6;CCNA2;RCN1;COL4A2;COL4A1;TMX1;NDUFS6;UQCRC1;CKS2;SRSF2;JTB;GAS1;CCDC86;ERH;MCM6;SLC25A5;PTMA;SNRPB;FH;RNASEK;ANP32A;GTF3C6;SLC20A1;GSTP1;DDX1;MRPL15;RTN4;PRDX4;ATP5F1B;PCBP1;CYC1;ATP5ME;HSPA9;NOP58;TMA7;RFLNB;PDAP1;PA2G4;RRP1B;TUBB4B;HSPE1;TM9SF2;SEM1;EIF2S3;RNPS1;ANP32B;EIF3A;ITM2B;TOMM5;MAD2L1
NFKB1 OE HEK293 HUMAN GSE57027 RNASEQ DOWN	84/532	5.553657928117465E-22	4.3340746471028697E-20	0	0	3.923141891891892	192.00803955397646	YWHAE;FEN1;NUP188;IRS4;NUCKS1;IPO7;CDC20;LAPTM4B;TUBA1B;SERP1;TRIM28;YWHAQ;C1QBP;SUMO2;SLC39A6;PAPOLA;DHX15;TIMM17A;PLS3;YWHAG;SUPT16H;SMARCC1;PARP1;TPM3;EIF1AX;ZFR;ATP1B3;DYNLL2;DDOST;DDB1;CCNA2;RCN2;MTHFD1;PPA1;NCL;CKS2;SRSF3;UQCRC2;MCM6;TOP1;KIF20A;SRSF6;SNRNP200;SLC25A5;GART;PTMA;NOTCH2;LRRC59;HDAC2;TMED10;DHX9;DDX1;MYCBP2;HEATR1;IQGAP1;NUP160;PPM1G;PRDX3;TMEM123;BCLAF1;DNAJB6;RAD21;TPR;EIF4EBP2;ABCF2;HSPA9;SPEN;DR1;XRCC5;HSPA4;SMARCA5;DHCR24;PA2G4;TUBB4B;TM9SF2;RPS25;CNIH1;EIF2S3;UBE2N;CYCS;NCAPD2;EIF3E;CALR;RBMX
ZFX KO MOUSE GSE7069 CREEDSID GENE 178 DOWN	62/309	6.638130122473147E-22	4.981150718825042E-20	0	0	5.180504515727188	252.62233838789695	FEN1;PDCD5;BCCIP;YBX1;PRPF19;ATP5IF1;C1QBP;MAGOH;PMPCB;UQCRFS1;SMIM13;GLRX5;REXO2;RABGGTB;HAUS1;CFDP1;MTHFD1;PPA1;PSMA2;NDUFS6;SRSF3;SUCLG1;ERH;SNRPA1;UQCRC2;SNRPF;MCM6;EEF1E1;SLC25A5;CSTB;RNASEH2C;POM121;NDUFB10;PSMD14;NDUFB6;CTBP1;MRPL18;GSTP1;DDX1;MRPL16;COX5A;SRM;PPM1G;PRDX3;PRDX2;PGRMC1;PSMB4;ATP5F1B;GRPEL1;PSMB3;CYC1;HSPA9;NDFIP1;HSPE1;CS;SEM1;SPCS3;PSMC2;CYCS;SLIRP;MAD2L1;RNF187
GATA4 OE MOUSE GSE66016 CREEDSID GENE 2651 DOWN	60/291	7.285525942283983E-22	5.264467079035574E-20	0	0	5.3534404192298926	260.5572044965571	FEN1;CDC20;ATP5IF1;GJA1;TUBA1B;RPL36AL;SNRPD1;C1QBP;COTL1;SLC39A6;TIMM17A;HMGN2;CHCHD1;TNFRSF12A;ATP1B3;RABGGTB;MRPL46;COX6B1;EEF1A1;PPA1;PSMA2;PSME4;SRSF2;PGP;CCDC86;JTB;UQCRC2;SLC25A5;PPIC;CSTB;GRN;NDUFB8;NDUFB6;UQCR10;COX5A;PSMB7;PSMB4;PRDX4;ATP5F1B;PSMB3;PCBP1;PSMB1;BRIX1;CYC1;HOXC9;ATP5MG;HSPA9;NDUFA9;NDUFA4;ALYREF;TUBB4B;LSM3;MRPL30;LSM8;COPS6;PSMC2;NMT1;CPE;SLIRP;RPS24
