NM_001005484.2	NP_001005484.2
XM_017002928.3	XP_016858417.1
XM_011542494.4	XP_011540796.1
XM_047435367.1	XP_047291323.1
XM_024451190.2	XP_024306958.1
XM_047435363.1	XP_047291319.1
XM_047435371.1	XP_047291327.1
XM_047435369.1	XP_047291325.1
XM_047435368.1	XP_047291324.1
NM_001110781.3	NP_001104251.1
NM_001290264.2	NP_001277193.1
NM_033529.4	NP_277071.2
NM_001313896.2	NP_001300825.1
NM_001313982.2	NP_001300911.1
NM_024011.4	NP_076916.2
XM_047428631.1	XP_047284587.1
XM_011542009.3	XP_011540311.1
NM_001353641.2	NP_001340570.1
NM_001198994.2	NP_001185923.1
NM_001198993.2	NP_001185922.1
NM_023018.5	NP_075394.3
XM_047428656.1	XP_047284612.1
NM_001353642.2	NP_001340571.1
NM_001198995.1	NP_001185924.1
XM_017002144.3	XP_016857633.1
XM_047428647.1	XP_047284603.1
XM_047418078.1	XP_047274034.1
XM_047418076.1	XP_047274032.1
XM_017001061.3	XP_016856550.1
NM_001282539.2	NP_001269468.1
NM_001282538.2	NP_001269467.1
XM_047418072.1	XP_047274028.1
XM_017001060.3	XP_016856549.1
NM_002074.5	NP_002065.1
XM_047418073.1	XP_047274029.1
XM_047418070.1	XP_047274026.1
XM_047418049.1	XP_047274005.1
XM_047418071.1	XP_047274027.1
XM_047418061.1	XP_047274017.1
XM_047418054.1	XP_047274010.1
XM_047418042.1	XP_047273998.1
XM_047418059.1	XP_047274015.1
XM_047418050.1	XP_047274006.1
XM_047418057.1	XP_047274013.1
XM_047418044.1	XP_047274000.1
XM_047418046.1	XP_047274002.1
XM_047418045.1	XP_047274001.1
XM_024446495.2	XP_024302263.1
XM_047418058.1	XP_047274014.1
XM_047418068.1	XP_047274024.1
XM_047418056.1	XP_047274012.1
XM_047418074.1	XP_047274030.1
XM_047418055.1	XP_047274011.1
XM_047418062.1	XP_047274018.1
XM_047418043.1	XP_047273999.1
XM_047418069.1	XP_047274025.1
XM_047418063.1	XP_047274019.1
XM_047418060.1	XP_047274016.1
XM_047418067.1	XP_047274023.1
XM_017001059.3	XP_016856548.1
XM_005244729.4	XP_005244786.2
NM_138705.4	NP_619650.2
NM_001330313.2	NP_001317242.1
XM_047419240.1	XP_047275196.1
NM_178545.4	NP_848640.1
XM_047419237.1	XP_047275193.1
XM_047419236.1	XP_047275192.1
NM_001304360.2	NP_001291289.1
NM_000815.5	NP_000806.2
XM_011541194.4	XP_011539496.1
XM_017000936.2	XP_016856425.1
XM_047425255.1	XP_047281211.1
XM_017001790.2	XP_016857279.1
NM_002744.6	NP_002735.3
XM_017001789.2	XP_016857278.1
XM_011541773.2	XP_011540075.1
XM_011541775.4	XP_011540077.1
XM_017001803.3	XP_016857292.1
XM_047425262.1	XP_047281218.1
XM_047425260.1	XP_047281216.1
NM_001350804.2	NP_001337733.1
NM_001350806.2	NP_001337735.1
NM_001350803.2	NP_001337732.1
NM_001033581.3	NP_001028753.1
XM_017001792.2	XP_016857281.1
XM_011541776.2	XP_011540078.1
NM_001350805.2	NP_001337734.1
NM_001242874.3	NP_001229803.1
XM_011541774.2	XP_011540076.1
XM_047425283.1	XP_047281239.1
XM_047425323.1	XP_047281279.1
NM_001033582.3	NP_001028754.1
XM_024448391.2	XP_024304159.1
XM_024448396.2	XP_024304164.1
XM_047425348.1	XP_047281304.1
XM_047425304.1	XP_047281260.1
XM_047425340.1	XP_047281296.1
XM_047425273.1	XP_047281229.1
XM_017001793.2	XP_016857282.1
XM_047425307.1	XP_047281263.1
XM_017001797.2	XP_016857286.1
XM_024448397.2	XP_024304165.1
XM_017001802.2	XP_016857291.1
NM_001146310.2	NP_001139782.1
XM_047448526.1	XP_047304482.1
NM_001256945.2	NP_001243874.2
XM_017000554.3	XP_016856043.1
NM_001282673.2	NP_001269602.2
NM_001282672.2	NP_001269601.1
NM_001282671.2	NP_001269600.1
NM_001282670.2	NP_001269599.1
XM_047448529.1	XP_047304485.1
XM_047448522.1	XP_047304478.1
XM_047448545.1	XP_047304501.1
NM_001256947.2	NP_001243876.2
XM_047448563.1	XP_047304519.1
NM_182533.4	NP_872339.3
XM_047448517.1	XP_047304473.1
XM_047448516.1	XP_047304472.1
XM_047448519.1	XP_047304475.1
XM_047448544.1	XP_047304500.1
XM_047448550.1	XP_047304506.1
XM_047448539.1	XP_047304495.1
XM_047448559.1	XP_047304515.1
XM_047448555.1	XP_047304511.1
NM_001256946.2	NP_001243875.2
XM_005244775.4	XP_005244832.1
NM_003036.4	NP_003027.1
XM_005244776.5	XP_005244833.1
XM_047428466.1	XP_047284422.1
XM_017002128.2	XP_016857617.1
NM_024848.3	NP_079124.1
NM_001301060.2	NP_001287989.1
NM_007033.5	NP_008964.3
NM_001374427.1	NP_001361356.1
NM_001374426.1	NP_001361355.1
NM_002617.4	NP_002608.1
NM_001374425.1	NP_001361354.1
NM_153818.2	NP_722540.1
XM_047422539.1	XP_047278495.1
XM_011541576.3	XP_011539878.1
XM_047435029.1	XP_047290985.1
XM_047435028.1	XP_047290984.1
XM_047435038.1	XP_047290994.1
XM_047435023.1	XP_047290979.1
XM_047435025.1	XP_047290981.1
XM_047435024.1	XP_047290980.1
XM_047435033.1	XP_047290989.1
XM_047435034.1	XP_047290990.1
XM_047435039.1	XP_047290995.1
NM_001303012.2	NP_001289941.1
NM_014638.4	NP_055453.2
NM_001303013.1	NP_001289942.1
NM_018216.4	NP_060686.3
XM_047424306.1	XP_047280262.1
XM_011541708.4	XP_011540010.2
NM_024654.5	NP_078930.4
XM_047430565.1	XP_047286521.1
XM_005263493.5	XP_005263550.1
XM_047430556.1	XP_047286512.1
XM_011542147.4	XP_011540449.1
XM_047424842.1	XP_047280798.1
XM_011541084.3	XP_011539386.1
XM_011541083.3	XP_011539385.1
NM_015215.4	NP_056030.1
XM_011541086.4	XP_011539388.1
XM_011541090.4	XP_011539392.1
NM_001349609.2	NP_001336538.1
NM_001349610.2	NP_001336539.1
XM_017000778.2	XP_016856267.1
NM_001410737.1	NP_001397666.1
XM_011541087.3	XP_011539389.1
XM_047415997.1	XP_047271953.1
NM_001410738.1	NP_001397667.1
XM_011541088.3	XP_011539390.1
NM_001349608.2	NP_001336537.1
XM_047415999.1	XP_047271955.1
NM_001349612.2	NP_001336541.1
XM_047416005.1	XP_047271961.1
XM_047416024.1	XP_047271980.1
XM_017000774.3	XP_016856263.1
XM_047415993.1	XP_047271949.1
XM_011541091.3	XP_011539393.1
XM_011541092.4	XP_011539394.1
XM_017000780.3	XP_016856269.1
NM_001242701.2	NP_001229630.1
NM_001349627.2	NP_001336556.1
XM_017000781.2	XP_016856270.1
NM_001195563.2	NP_001182492.1
XM_047415988.1	XP_047271944.1
XM_047416009.1	XP_047271965.1
XM_024454334.1	XP_024310102.1
NM_001349614.1	NP_001336543.1
NM_001349620.1	NP_001336549.1
NM_001349621.1	NP_001336550.1
NM_001349625.2	NP_001336554.1
NM_001349623.1	NP_001336552.1
NM_001349617.1	NP_001336546.1
XM_024454329.2	XP_024310097.1
XM_024454330.2	XP_024310098.1
NM_001349613.1	NP_001336542.1
NM_001349616.2	NP_001336545.1
NM_001349615.2	NP_001336544.1
NM_001349618.2	NP_001336547.1
NM_001349619.2	NP_001336548.1
NM_001349622.2	NP_001336551.1
NM_001349626.2	NP_001336555.1
NM_001349624.3	NP_001336553.1
XM_024454332.2	XP_024310100.1
XM_024454331.2	XP_024310099.1
XM_024454333.2	XP_024310101.1
XM_047436663.1	XP_047292619.1
NM_004781.4	NP_004772.1
XM_047433449.1	XP_047289405.1
XM_047433435.1	XP_047289391.1
XM_047433457.1	XP_047289413.1
XM_047433442.1	XP_047289398.1
XM_047433459.1	XP_047289415.1
XM_047433453.1	XP_047289409.1
XM_047433437.1	XP_047289393.1
XM_047433440.1	XP_047289396.1
XM_047433473.1	XP_047289429.1
XM_047433454.1	XP_047289410.1
XM_047433434.1	XP_047289390.1
XM_047433446.1	XP_047289402.1
XM_047433455.1	XP_047289411.1
XM_047433436.1	XP_047289392.1
NM_001289861.2	NP_001276790.1
XM_047433443.1	XP_047289399.1
XM_047433466.1	XP_047289422.1
XM_047433447.1	XP_047289403.1
NM_001289863.3	NP_001276792.1
NM_001289864.3	NP_001276793.1
XM_047433438.1	XP_047289394.1
XM_047433451.1	XP_047289407.1
NM_016831.4	NP_058515.1
XM_005263524.5	XP_005263581.1
NM_001377275.1	NP_001364204.1
XM_047433448.1	XP_047289404.1
XM_024450586.2	XP_024306354.1
XM_047433456.1	XP_047289412.1
XM_024450587.2	XP_024306355.1
XM_047433458.1	XP_047289414.1
NM_001377276.1	NP_001364205.1
XM_017002723.3	XP_016858212.1
XM_017002724.3	XP_016858213.1
XM_047433468.1	XP_047289424.1
XM_017002726.3	XP_016858215.1
XM_047433472.1	XP_047289428.1
XM_024450590.2	XP_024306358.1
XM_047433439.1	XP_047289395.1
XM_047433445.1	XP_047289401.1
XM_047433444.1	XP_047289400.1
XM_047433441.1	XP_047289397.1
XM_047433452.1	XP_047289408.1
NM_001289862.2	NP_001276791.1
XM_047433474.1	XP_047289430.1
XM_047433475.1	XP_047289431.1
XM_017002729.2	XP_016858218.2
XM_047433476.1	XP_047289432.1
XM_011540537.3	XP_011538839.1
NM_021995.2	NP_068835.1
XM_011540538.2	XP_011538840.1
NM_006786.4	NP_006777.1
NM_001561.6	NP_001552.2
XM_006710618.4	XP_006710681.1
XM_047419672.1	XP_047275628.1
XM_005263424.4	XP_005263481.1
NM_007262.5	NP_009193.2
NM_001123377.2	NP_001116849.1
NM_018948.4	NP_061821.1
XM_047422698.1	XP_047278654.1
XM_005263477.4	XP_005263534.1
XM_047422701.1	XP_047278657.1
NM_001379614.1	NP_001366543.1
NM_001080397.3	NP_001073866.3
NM_001379615.1	NP_001366544.1
NM_001379616.1	NP_001366545.1
NM_001379617.1	NP_001366546.1
NM_001379618.1	NP_001366547.1
XM_047421726.1	XP_047277682.1
NM_001042681.2	NP_001036146.1
NM_012102.4	NP_036234.3
NM_001042682.2	NP_001036147.1
NM_001428.5	NP_001419.1
NM_001353346.3	NP_001340275.1
NM_001201483.4	NP_001188412.1
NM_001215.4	NP_001206.2
NM_001270501.2	NP_001257430.1
NM_001270502.2	NP_001257431.1
XM_011542084.4	XP_011540386.1
NM_001270500.2	NP_001257429.1
XM_011542083.4	XP_011540385.1
XM_011540824.3	XP_011539126.1
NM_207420.3	NP_997303.2
XM_011540825.3	XP_011539127.1
XM_047428615.1	XP_047284571.1
XM_047428614.1	XP_047284570.1
XM_047428606.1	XP_047284562.1
XM_047428612.1	XP_047284568.1
XM_047428602.1	XP_047284558.1
XM_047428623.1	XP_047284579.1
XM_047428588.1	XP_047284544.1
XM_047428594.1	XP_047284550.1
XM_047428598.1	XP_047284554.1
NM_001328619.2	NP_001315548.1
XM_047428591.1	XP_047284547.1
NM_001328621.2	NP_001315550.1
NM_001328620.2	NP_001315549.1
NM_003039.3	NP_003030.1
XM_047428625.1	XP_047284581.1
NM_001135585.2	NP_001129057.1
XM_005263497.6	XP_005263554.1
XM_005263496.6	XP_005263553.1
NM_024980.5	NP_079256.4
XM_047435002.1	XP_047290958.1
NM_004285.4	NP_004276.2
XM_006711052.5	XP_006711115.1
NM_001282587.2	NP_001269516.1
XM_017002865.3	XP_016858354.1
XM_047435005.1	XP_047290961.1
XM_005263540.6	XP_005263597.1
XM_047435003.1	XP_047290959.1
XM_017002866.3	XP_016858355.1
NM_025106.4	NP_079382.2
NM_032315.3	NP_115691.1
XM_017000549.2	XP_016856038.1
NM_001130924.3	NP_001124396.2
XM_017000550.2	XP_016856039.1
XM_006710417.4	XP_006710480.1
XM_047448441.1	XP_047304397.1
XM_011540910.3	XP_011539212.1
NM_001010866.4	NP_001010866.1
XM_017000552.3	XP_016856041.1
XM_017000551.3	XP_016856040.1
XM_047436734.1	XP_047292690.1
XM_047422557.1	XP_047278513.1
XM_047422553.1	XP_047278509.1
XM_047422555.1	XP_047278511.1
XM_047422551.1	XP_047278507.1
XM_047422561.1	XP_047278517.1
XM_047422552.1	XP_047278508.1
XM_047422576.1	XP_047278532.1
XM_047422562.1	XP_047278518.1
XM_047422554.1	XP_047278510.1
XM_047422564.1	XP_047278520.1
XM_047422568.1	XP_047278524.1
XM_047422573.1	XP_047278529.1
NM_005026.5	NP_005017.3
XM_047422574.1	XP_047278530.1
XM_024447663.2	XP_024303431.1
XM_047422578.1	XP_047278534.1
XM_024447664.2	XP_024303432.1
XM_047422571.1	XP_047278527.1
XM_006710689.3	XP_006710752.1
XM_047422577.1	XP_047278533.1
XM_047422565.1	XP_047278521.1
XM_047422569.1	XP_047278525.1
XM_047422580.1	XP_047278536.1
XM_047422589.1	XP_047278545.1
XM_047422556.1	XP_047278512.1
XM_047422550.1	XP_047278506.1
XM_047422563.1	XP_047278519.1
XM_047422572.1	XP_047278528.1
XM_006710687.3	XP_006710750.1
XM_047422575.1	XP_047278531.1
NM_001350234.2	NP_001337163.1
XM_047422566.1	XP_047278522.1
XM_047422570.1	XP_047278526.1
XM_047422558.1	XP_047278514.1
XM_047422567.1	XP_047278523.1
NM_001350235.1	NP_001337164.1
XM_047422560.1	XP_047278516.1
XM_047422559.1	XP_047278515.1
XM_047449470.1	XP_047305426.1
NM_001009566.3	NP_001009566.1
NM_014944.4	NP_055759.3
NM_001302883.1	NP_001289812.1
NM_001012329.2	NP_001012329.1
NM_020248.3	NP_064633.1
XM_047425762.1	XP_047281718.1
XM_047425765.1	XP_047281721.1
XM_047425763.1	XP_047281719.1
XM_047425770.1	XP_047281726.1
XM_047425766.1	XP_047281722.1
NM_001316975.2	NP_001303904.1
XM_005263506.3	XP_005263563.1
NM_001316974.2	NP_001303903.1
NM_001316976.2	NP_001303905.1
NM_001316973.2	NP_001303902.1
NM_032368.5	NP_115744.2
XM_017002546.2	XP_016858035.1
XM_017002547.2	XP_016858036.1
NM_001297778.1	NP_001284707.1
XM_047428077.1	XP_047284033.1
XM_017002108.3	XP_016857597.1
XM_017002107.3	XP_016857596.1
NM_022787.4	NP_073624.2
XM_011541971.2	XP_011540273.1
XM_047428082.1	XP_047284038.1
NM_001297779.2	NP_001284708.1
XM_047428076.1	XP_047284032.1
XM_047428080.1	XP_047284036.1
XM_047436754.1	XP_047292710.1
NM_052960.3	NP_443192.1
NM_001410744.1	NP_001397673.1
NM_001105562.3	NP_001099032.1
NM_006048.5	NP_006039.2
XM_011540490.3	XP_011538792.1
XM_011540489.4	XP_011538791.1
XM_047428018.1	XP_047283974.1
XM_011540488.4	XP_011538790.1
XM_017000035.3	XP_016855524.1
NM_001365951.3	NP_001352880.1
NM_183416.4	NP_904325.2
NM_015074.3	NP_055889.2
NM_001365952.1	NP_001352881.1
NM_001365953.1	NP_001352882.1
NM_001304452.2	NP_001291381.1
NM_002631.4	NP_002622.2
NM_001304451.2	NP_001291380.1
NM_001270517.2	NP_001257446.1
NM_198544.4	NP_940946.1
NM_199006.3	NP_950171.2
NM_001243768.2	NP_001230697.1
NM_199294.3	NP_954988.1
NM_001302.5	NP_001293.3
NM_004401.3	NP_004392.1
NM_213566.2	NP_998731.1
XM_047422544.1	XP_047278500.1
XM_047422546.1	XP_047278502.1
XM_047422545.1	XP_047278501.1
XM_047422543.1	XP_047278499.1
NM_004565.3	NP_004556.1
XM_011541580.2	XP_011539882.1
XM_011541579.4	XP_011539881.1
XM_011541577.3	XP_011539879.1
XM_047422542.1	XP_047278498.1
XM_011541578.3	XP_011539880.1
NM_001079843.3	NP_001073312.1
XM_017001540.3	XP_016857029.1
XM_047423404.1	XP_047279360.1
XM_005263479.4	XP_005263536.1
XM_017001539.3	XP_016857028.1
NM_017766.5	NP_060236.3
NM_001170754.2	NP_001164225.1
NM_001366227.2	NP_001353156.1
XM_047446828.1	XP_047302784.1
XM_047446830.1	XP_047302786.1
XM_047446831.1	XP_047302787.1
XM_047446829.1	XP_047302785.1
NM_007375.4	NP_031401.1
NM_006610.4	NP_006601.2
XM_017000097.1	XP_016855586.1
XM_047439758.1	XP_047295714.1
NM_139208.3	NP_631947.1
NM_003132.3	NP_003123.2
NM_002685.4	NP_002676.1
NM_001001998.3	NP_001001998.1
XM_005263475.3	XP_005263532.2
XM_047422661.1	XP_047278617.1
XM_047422663.1	XP_047278619.1
NM_001386501.1	NP_001373430.1
NM_004958.4	NP_004949.1
NM_001386500.1	NP_001373429.1
XM_017000900.1	XP_016856389.1
XM_047416724.1	XP_047272680.1
XM_047416721.1	XP_047272677.1
XM_011541166.3	XP_011539468.1
NM_021146.4	NP_066969.1
XM_047424430.1	XP_047280386.1
XM_017000004.2	XP_016855493.1
NM_001330349.2	NP_001317278.1
NM_001330350.2	NP_001317279.1
XM_047418727.1	XP_047274683.1
NM_013319.3	NP_037451.1
NM_020780.2	NP_065831.1
XM_047426135.1	XP_047282091.1
XM_011541830.3	XP_011540132.1
XM_011541831.3	XP_011540133.1
XM_011541832.2	XP_011540134.1
XM_011541833.2	XP_011540135.1
XM_047426138.1	XP_047282094.1
XM_011541835.2	XP_011540137.1
XM_011541828.4	XP_011540130.1
XM_011541829.2	XP_011540131.1
NM_012168.6	NP_036300.2
XM_047434652.1	XP_047290608.1
XM_011542435.2	XP_011540737.1
NM_001304791.2	NP_001291720.1
XM_005263537.2	XP_005263594.1
NM_183412.3	NP_904319.1
NM_001014765.2	NP_001014765.1
XM_047434637.1	XP_047290593.1
XM_005263536.5	XP_005263593.1
XM_047434659.1	XP_047290615.1
NM_001304790.2	NP_001291719.1
NM_033182.7	NP_149438.2
XM_006711045.4	XP_006711108.1
NM_001330355.2	NP_001317284.1
XM_006711043.4	XP_006711106.1
NM_183413.3	NP_904320.1
XM_017002844.3	XP_016858333.1
XM_047434647.1	XP_047290603.1
XM_017002843.2	XP_016858332.1
XM_017002842.3	XP_016858331.1
XM_047434635.1	XP_047290591.1
XM_047434631.1	XP_047290587.1
XM_047434660.1	XP_047290616.1
XM_005263448.6	XP_005263505.1
NM_018438.6	NP_060908.1
XM_005263451.6	XP_005263508.1
XM_005263449.6	XP_005263506.1
XM_011541232.4	XP_011539534.1
XM_047430782.1	XP_047286738.1
NM_001127325.2	NP_001120797.1
NM_006341.4	NP_006332.3
XM_017001215.2	XP_016856704.1
NM_198545.4	NP_940947.3
XM_011541802.3	XP_011540104.1
XM_011541800.4	XP_011540102.1
XM_011541799.4	XP_011540101.2
NM_001040197.2	NP_001035287.1
NM_001040196.2	NP_001035286.1
NM_020350.5	NP_065083.3
NM_001040194.2	NP_001035284.1
NM_001040195.2	NP_001035285.1
XM_024446507.2	XP_024302275.1
XM_024446506.2	XP_024302274.1
XM_011541272.4	XP_011539574.1
XM_011541278.3	XP_011539580.1
XM_011541276.4	XP_011539578.1
XM_011541277.4	XP_011539579.1
XM_024446512.2	XP_024302280.1
XM_024446509.2	XP_024302277.1
XM_024446514.2	XP_024302282.1
NM_001010881.2	NP_001010881.1
XM_024446517.2	XP_024302285.1
XM_024446508.2	XP_024302276.1
XM_024446515.2	XP_024302283.1
XM_024446518.2	XP_024302286.1
XM_047418137.1	XP_047274093.1
XM_047421181.1	XP_047277137.1
XM_005263462.5	XP_005263519.1
XM_047421179.1	XP_047277135.1
XM_047421180.1	XP_047277136.1
NM_005957.5	NP_005948.3
XM_047421178.1	XP_047277134.1
